orcid_origin,pmid,doi,article_qnr,all_authors_qnr
0000-0002-6804-3942,nan,10.1177/0961203310388448,Q53080331,"['Q22915106', 'Q37834561', 'Q53075026', 'Q57116198']"
0000-0002-6804-3942,nan,10.1177/096120339400300401,Q40558449,
0000-0002-6804-3942,nan,10.1177/0961203311425530,Q61649674,"['Q37834561', 'Q42373193', 'Q53075026']"
0000-0002-6804-3942,nan,10.1177/096120339600500211,Q41066141,
0000-0002-6804-3942,nan,10.1007/BF00561378,Q69844310,['Q42373193']
0000-0002-6804-3942,nan,10.1191/096120398678920253,Q47719688,
0000-0002-1921-7942,nan,10.5435/JAAOS-22-06-381,Q38214586,['Q84763354']
0000-0002-1921-7942,nan,10.2106/JBJS.N.00203,Q86574262,['Q84763354']
0000-0002-1921-7942,nan,10.2106/JBJS.L.01405,Q87240581,"['Q43133205', 'Q84763354']"
0000-0002-1921-7942,nan,10.1097/BPO.0000000000000426,Q86852393,['Q84763354']
0000-0002-1921-7942,nan,10.2106/JBJS.15.01116,Q47886758,['Q84763354']
0000-0002-1921-7942,nan,10.2106/JBJS.L.00764,Q38127381,
0000-0002-1921-7942,nan,10.1177/0363546516654479,Q88007189,['Q84763354']
0000-0002-2504-3942,22873691.0,10.1080/02640414.2012.710757,Q34371148,"['Q51424851', 'Q55071774', 'Q57016701', 'Q57128945']"
0000-0002-2504-3942,nan,10.1080/09638288.2017.1395083,Q48049946,"['Q55079355', 'Q57016701', 'Q57128945']"
0000-0002-8680-7942,nan,10.1643/0045-8511(2006)6[198:TGHSTW]2.0.CO;2,Q56083827,['Q54775734']
0000-0002-4977-4942,nan,10.1080/09273948.2019.1588334,Q93149835,"['Q87040464', 'Q87814266', 'Q89403254', 'Q89866336']"
0000-0002-4977-4942,nan,10.1080/15569527.2018.1482494,Q88981546,['Q87040464']
0000-0002-4977-4942,nan,10.1080/02713683.2019.1639769,Q91682636,"['Q87040464', 'Q87814266', 'Q89403254', 'Q89849207', 'Q89866336']"
0000-0002-4977-4942,nan,10.1080/02713683.2019.1594925,Q92349862,"['Q86839645', 'Q87040464', 'Q87814266', 'Q88374399', 'Q89866336']"
0000-0002-4977-4942,30726405.0,10.5935/0004-2749.20190021,Q91378165,['Q87040464']
0000-0002-4977-4942,30542050.0,10.12659/MSM.910923,Q60957105,['Q87040464']
0000-0002-4977-4942,26491248.0,10.2147/OPTH.S91943,Q41066143,
0000-0002-4977-4942,27082732.0,10.3109/08820538.2015.1115084,Q42491913,"['Q85714327', 'Q87040464']"
0000-0002-4977-4942,29969298.0,10.1080/15569527.2018.1495224,Q89403257,"['Q87040464', 'Q89403254']"
0000-0002-4977-4942,29865906.0,10.1080/15569527.2018.1482494,Q88981546,['Q87040464']
0000-0002-4977-4942,nan,10.1080/15569527.2018.1442842,Q49889039,"['Q42842367', 'Q87040464', 'Q87814266', 'Q87814271', 'Q87814269', 'Q87814275', 'Q87814272']"
0000-0002-4977-4942,nan,10.1080/15569527.2018.1495224,Q89403257,"['Q87040464', 'Q89403254']"
0000-0002-4977-4942,31280609.0,10.1080/02713683.2019.1639769,Q91682636,"['Q87040464', 'Q87814266', 'Q89403254', 'Q89849207', 'Q89866336']"
0000-0002-4977-4942,nan,10.1080/15569527.2018.1530258,Q57045479,"['Q42842367', 'Q87040464', 'Q87814271', 'Q87814269', 'Q89866336', 'Q90430763', 'Q91962178']"
0000-0002-4977-4942,30994377.0,10.1080/09273948.2019.1588334,Q93149835,"['Q87040464', 'Q87814266', 'Q89403254', 'Q89866336']"
0000-0002-4977-4942,nan,10.1080/15569527.2018.1539010,Q58605603,['Q87040464']
0000-0002-4977-4942,25834384.0,10.2147/OPTH.S74249,Q35209759,['Q87040464']
0000-0002-4977-4942,30362367.0,10.1080/15569527.2018.1539010,Q58605603,['Q87040464']
0000-0002-4977-4942,30868923.0,10.1080/02713683.2019.1594925,Q92349862,"['Q86839645', 'Q87040464', 'Q87814266', 'Q88374399', 'Q89866336']"
0000-0002-4977-4942,29455557.0,10.1080/15569527.2018.1442842,Q49889039,"['Q42842367', 'Q87040464', 'Q87814266', 'Q87814271', 'Q87814269', 'Q87814275', 'Q87814272']"
0000-0002-4977-4942,nan,10.2147/OPTH.S74249,Q35209759,['Q87040464']
0000-0002-4977-4942,nan,10.3109/08820538.2015.1115084,Q42491913,"['Q85714327', 'Q87040464']"
0000-0002-4977-4942,30277087.0,10.1080/15569527.2018.1530258,Q57045479,"['Q42842367', 'Q87040464', 'Q87814271', 'Q87814269', 'Q89866336', 'Q90430763', 'Q91962178']"
0000-0002-4977-4942,nan,10.12659/MSM.910923,Q60957105,['Q87040464']
0000-0002-4977-4942,nan,10.5935/0004-2749.20190021,Q91378165,['Q87040464']
0000-0002-8565-2942,nan,10.1016/B978-0-12-374420-3.00070-X,Q58887317,
0000-0002-8565-2942,nan,10.1080/02652030600889608,Q58887329,"['Q46203404', 'Q46203426', 'Q59823192']"
0000-0002-8565-2942,nan,10.1016/S0021-9673(02)01154-8,Q44236512,['Q42978127']
0000-0002-8565-2942,nan,10.1080/19440049.2010.542551,Q52606959,"['Q46203404', 'Q46203426', 'Q46857253']"
0000-0002-8565-2942,nan,10.1080/02652030600970374,Q52677886,"['Q46203404', 'Q46203426', 'Q58080504']"
0000-0002-8565-2942,nan,10.1016/S0021-9673(00)00447-7,Q74195509,['Q46203404']
0000-0002-8565-2942,nan,10.1016/S0031-9422(96)00413-X,Q59306849,
0000-0002-8565-2942,nan,10.1016/S0308-8146(98)00062-4,Q59385706,
0000-0002-8565-2942,nan,10.1081/JLC-100103429,Q58854855,
0000-0001-7881-4942,nan,10.1017/S0007114514003808,Q41513453,"['Q51762581', 'Q58642230', 'Q59765331', 'Q80861580']"
0000-0001-7881-4942,nan,10.1177/0733464816630636,Q48626877,"['Q51762581', 'Q59393223', 'Q59765331', 'Q60709911', 'Q80861580']"
0000-0001-7881-4942,nan,10.1016/B978-0-12-396961-3.00045-7,Q57929395,
0000-0001-7881-4942,nan,10.1109/TITB.2004.834393,Q34358842,['Q80861580']
0000-0002-4395-4942,nan,10.1016/S0016-7061(00)00048-3,Q57774747,['Q57420485']
0000-0002-4395-4942,nan,10.1016/S0016-7061(03)00219-2,Q57774698,
0000-0002-4395-4942,nan,10.1071/SR99114,Q57774737,['Q57316693']
0000-0002-4395-4942,nan,10.1109/ATSIP.2014.6834648,Q57774563,['Q57887987']
0000-0002-4395-4942,nan,10.1016/S1251-8050(00)00122-1,Q57774748,
0000-0002-4395-4942,nan,10.1071/SR13305,Q57774548,
0000-0002-4395-4942,nan,10.1097/00010694-200306000-00006,Q57774718,
0000-0002-4395-4942,nan,10.1016/S0016-7061(00)00048-3,Q57774747,['Q57420485']
0000-0002-4395-4942,nan,10.1079/SUM2002190,Q57774725,
0000-0002-4395-4942,nan,10.1079/SUM2002190,Q57774725,
0000-0002-4395-4942,nan,10.1007/978-1-4020-8592-5_23,Q57774634,
0000-0002-4395-4942,nan,10.1016/S0166-2481(06)31022-7,Q57774669,
0000-0002-4395-4942,nan,10.1364/BOE.4.002463,Q30446421,['Q57420485']
0000-0002-4395-4942,nan,10.1016/S1251-8050(00)00181-6,Q57774750,
0000-0002-4395-4942,nan,10.1016/S1251-8050(00)00181-6,Q57774750,
0000-0002-4395-4942,nan,10.1016/S0016-7061(00)00035-5,Q57774743,
0000-0002-4395-4942,nan,10.1080/01431169608948773,Q57774770,
0000-0002-4395-4942,nan,10.1016/S0166-2481(06)31038-0,Q57774672,
0000-0002-4395-4942,nan,10.1155/2016/7302148,Q57774503,
0000-0002-4395-4942,nan,10.1016/S1251-8050(00)80022-1,Q57774758,
0000-0002-4395-4942,nan,10.1016/S0016-7061(00)00104-X,Q57774731,
0000-0002-4395-4942,nan,10.1071/SR99114,Q57774737,['Q57316693']
0000-0002-4395-4942,nan,10.1097/00010694-200012000-00006,Q57774754,['Q57420485']
0000-0002-4395-4942,nan,10.1097/00010694-200306000-00006,Q57774718,
0000-0002-4395-4942,nan,10.1016/S1251-8050(00)00122-1,Q57774748,
0000-0002-4395-4942,nan,10.1016/S1251-8050(00)80022-1,Q57774758,
0000-0002-4395-4942,nan,10.1023/A:1009775825427,Q57774766,
0000-0002-4395-4942,nan,10.1007/978-1-4020-8592-5_23,Q57774634,
0000-0002-4395-4942,nan,10.1016/S0016-7061(03)00219-2,Q57774698,
0000-0002-4395-4942,nan,10.1016/S0016-7061(00)00035-5,Q57774743,
0000-0002-4395-4942,nan,10.1016/S0016-7061(00)00104-X,Q57774731,
0000-0002-4395-4942,nan,10.1007/978-1-4020-8592-5_30,Q57774642,['Q57420485']
0000-0002-4395-4942,nan,10.1097/00010694-200101000-00008,Q57774734,
0000-0002-9675-7942,31106578.0,10.1080/13548506.2019.1619789,Q92150092,"['Q64495871', 'Q74758421', 'Q86833262', 'Q92150088']"
0000-0002-9675-7942,12411719.0,10.1159/000066219,Q78461686,"['Q64495871', 'Q78461682']"
0000-0002-9675-7942,nan,10.1159/000066219,Q78461686,"['Q64495871', 'Q78461682']"
0000-0002-9675-7942,nan,10.2147/COPD.S112837,Q37305998,['Q64495871']
0000-0002-9675-7942,27729781.0,10.2147/COPD.S112837,Q37305998,['Q64495871']
0000-0002-9675-7942,nan,10.1080/13548506.2019.1619789,Q92150092,"['Q64495871', 'Q74758421', 'Q86833262', 'Q92150088']"
0000-0002-9675-7942,nan,10.1007/5584_2015_196,Q40072069,"['Q64495871', 'Q85773271', 'Q87141729']"
0000-0002-9645-8942,nan,10.1007/S10456-018-9604-Y,Q49991844,"['Q46067676', 'Q50532645', 'Q55834734', 'Q58403794', 'Q60327571', 'Q87792754', 'Q87792752', 'Q87792757']"
0000-0002-9645-8942,nan,10.1038/SDATA.2017.111,Q38623872,"['Q46067676', 'Q55834734', 'Q58403794', 'Q60327571']"
0000-0002-9645-8942,nan,10.1038/S41598-017-07129-4,Q41423380,"['Q46067676', 'Q55834734', 'Q58403794', 'Q60327571']"
0000-0002-9645-8942,nan,10.1155/2017/1956104,Q43113335,"['Q46067676', 'Q58403794', 'Q60327571', 'Q87661680', 'Q89833085']"
0000-0002-9645-8942,nan,10.1371/JOURNAL.PONE.0106546,Q28542907,['Q58403794']
0000-0002-9645-8942,nan,10.1007/S10456-018-9594-9,Q48248176,"['Q46067676', 'Q50532645', 'Q55834734', 'Q58403794', 'Q60327571', 'Q87506577', 'Q87792754', 'Q89867187', 'Q89867185']"
0000-0002-9645-8942,29104724.0,10.1155/2017/1956104,Q43113335,"['Q46067676', 'Q58403794', 'Q60327571', 'Q87661680', 'Q89833085']"
0000-0002-9645-8942,nan,10.1038/SREP32137,Q30804219,"['Q46067676', 'Q50532645', 'Q58403794', 'Q60327571']"
0000-0002-9645-8942,nan,10.1038/SDATA.2016.103,Q38375654,"['Q42417427', 'Q46067676', 'Q50532645', 'Q58403794', 'Q60327571']"
0000-0002-4424-4942,nan,10.1155/2017/1320780,Q59142058,
0000-0002-4424-4942,nan,10.1155/2016/2979081,Q30367497,"['Q56936868', 'Q87517956', 'Q88267005', 'Q89181518', 'Q89181516']"
0000-0002-4424-4942,nan,10.1155/2017/7571043,Q59142070,
0000-0002-8869-3942,nan,10.1088/1367-2630/12/3/035018,Q57186808,"['Q42189039', 'Q47471871', 'Q57161741', 'Q58153850', 'Q58153861', 'Q58153896']"
0000-0002-8869-3942,nan,10.1088/0965-0393/15/1/S17,Q59366676,"['Q2075335', 'Q58153850', 'Q60700739']"
0000-0002-8869-3942,nan,10.1016/S0020-7683(03)00143-4,Q30051449,
0000-0001-6860-8942,27966512.0,10.4103/0970-9290.195643,Q51080145,['Q80464688']
0000-0001-6860-8942,18182188.0,10.1016/S0022-3913(08)60011-6,Q47986035,['Q80464688']
0000-0001-6860-8942,18755057.0,10.1308/135576108784795374,Q47376937,"['Q47392200', 'Q80464688']"
0000-0001-6860-8942,26929538.0,10.4103/0972-4052.161570,Q36603621,['Q80464688']
0000-0001-6860-8942,27041917.0,10.4103/0976-237X.177090,Q30386979,"['Q80464688', 'Q84195075']"
0000-0001-6860-8942,28216842.0,10.4103/0972-4052.194945,Q47434539,['Q80464688']
0000-0001-6860-8942,26096105.0,10.4103/0970-9290.159138,Q85417593,['Q80464688']
