author_qID,orcid,name,affiliation,affiliation_id,affiliation_id_source,start_date_year
Q90035084,0000-0002-4746-879X,"('Siddharth', 'Sundararaman')","('E O Lawrence Berkeley National Laboratory', '1666', 'RINGGOLD', '2019')",nan,nan,nan,nan
,0000-0002-5133-679X,"('prabir Kumar', 'Das')","('Indian Statistical Institute', '30160', 'RINGGOLD', '2000')",nan,nan,nan,nan
,0000-0003-3436-979X,"('Michael', 'Bodeau')","('Northrop Grumman Aerospace Systems', '61831', 'RINGGOLD', '2007')",nan,nan,nan,nan
,0000-0001-5624-079X,"('Natalia', 'Mazurkiewicz')","('University of Life Sciences in Poznań', 'grid.410688.3', 'GRID', '2016')",nan,nan,nan,nan
Q85491401,0000-0001-9740-579X,"('Arxel', 'de León')","('Centro de Investigación en Química Aplicada', '42626', 'RINGGOLD', '2017')",nan,nan,nan,nan
,0000-0002-2756-379X,"('Nataly', 'Gantier')","('Universidad San Francisco Xavier de Chuquisaca', '28157', 'RINGGOLD', '2012')",nan,nan,nan,nan
,0000-0001-5468-379X,"('S. Eman', 'Mahmoodi')","('Stevens Institute of Technology', '33694', 'RINGGOLD', '2012')",nan,nan,nan,nan
Q56998457,0000-0002-9118-679X,"('Belinda', 'Winder')","('Nottingham Trent University', '6122', 'RINGGOLD', '2016')",nan,nan,nan,nan
,0000-0002-7996-179X,"('Melissa', 'Stas')","('University of Veterinary Medicine Vienna', 'grid.6583.8', 'GRID', '2018')",nan,nan,nan,nan
Q64918241,0000-0002-6815-479X,"('Noritaka', 'Furuya')","('Kissei Yakuhin Kogyo Kabushiki Kaisha Chuo Kenkyujo', '26327', 'RINGGOLD', '2010')",nan,nan,nan,nan
,0000-0002-0943-779X,"('Reto', 'Spielhofer')","('Eidgenössische Technische Hochschule Zürich', '27219', 'RINGGOLD', '2017')",nan,nan,nan,nan
,0000-0002-6068-979X,"('Lienemann', 'Charles-Philippe')","('IFP Energies nouvelles', '56498', 'RINGGOLD', '2000')",nan,nan,nan,nan
,0000-0003-0801-379X,"('Dr. Darolyn ""Lyn""', 'Jones')","('Ball State University', '5666', 'RINGGOLD', '2011')",nan,nan,nan,nan
,0000-0001-8801-579X,"('Ewa', 'Jasińska')","('Medical University of Lublin', 'grid.411484.c', 'GRID', '2015')",nan,nan,nan,nan
,0000-0002-7721-079X,"('Md Shamsur', 'Rahim')","('American International University Bangladesh', '185966', 'RINGGOLD', '2017')",nan,nan,nan,nan
Q60059409,0000-0002-7394-979X,"('Jarand', 'Gauteplass')","('University of Bergen', 'grid.7914.b', 'GRID', '2016')",nan,nan,nan,nan
Q90932058,0000-0002-1539-479X,"('Ricardo', 'Luría Manzano')","('Benemérita Universidad Autónoma de Puebla', '3972', 'RINGGOLD', '2015')",nan,nan,nan,nan
Q88566409,0000-0003-4000-579X,"('Jae Young', 'Seok')","('Korea Institute of Machinery and Materials', '65793', 'RINGGOLD', '2019')",nan,nan,nan,nan
,0000-0002-3924-979X,"('Тетяна', 'Деділова')","('Kharkiv National Automobile and Highway University', '199833', 'RINGGOLD', '2003')",nan,nan,nan,nan
Q62979902,0000-0002-2847-879X,"('Jan', 'Futas')","('University of Veterinary and Pharmaceutical Sciences', 'grid.412968.0', 'GRID', '2013')",nan,nan,nan,nan
,0000-0002-7005-179X,"('Mustafa', 'Ibrahim')","('Glasgow Caledonian University', '3525', 'RINGGOLD', '2017')",nan,nan,nan,nan
,0000-0002-1121-179X,"('Ni Kadek', 'Surpi')","('Institut Hindu Dharma Negeri Denpasar', '484531', 'RINGGOLD', '2009')",nan,nan,nan,nan
,0000-0003-0807-279X,"('Mark', 'Kogan')","('Nizhnii Novgorod State University of Architecture and Civil Engineering', '65036', 'RINGGOLD', '2003')",nan,nan,nan,nan
,0000-0002-1992-679X,"('Thomas', 'Kirven')","('University of Kentucky', '4530', 'RINGGOLD', '2016')",nan,nan,nan,nan
,0000-0002-3328-579X,"('mohammad', 'alharbi')","('Imam Muhammad Ibn Saud Islamic University', '48024', 'RINGGOLD', '2011')",nan,nan,nan,nan
,0000-0002-3651-579X,"('Matome', 'Ramoshaba')","('University of Johannesburg', '61799', 'RINGGOLD', '2009')",nan,nan,nan,nan
,0000-0003-2517-179X,"('IDRIS', 'TURNA')","('Recep Tayyip Erdoğan University', 'grid.412216.2', 'GRID', '2011')",nan,nan,nan,nan
Q57321101,0000-0003-2694-079X,"('Kathleen', 'Dumas')","('LGC, Biosearch Technologies', '25781', 'RINGGOLD', '2017')",nan,nan,nan,nan
,0000-0002-6308-979X,"('Natalie', 'Neumann')","('Niedersächsische Staats- und Universitätsbibliothek Göttingen', '27176', 'RINGGOLD', '2013')",nan,nan,nan,nan
,0000-0001-9418-379X,"('Suneela', 'Arif')","('Hazara University', '66934', 'RINGGOLD', '2007')",nan,nan,nan,nan
,0000-0002-5072-079X,"('Jerry', 'Waller')","('Elon University', '3202', 'RINGGOLD', '2014')",nan,nan,nan,nan
Q59968188,0000-0003-0626-179X,"('Lisbet', 'Grønbæk')","('Aarhus University Hospital', 'grid.154185.c', 'GRID', '2019')",nan,nan,nan,nan
Q96212331,0000-0001-5534-479X,"('Ibtesam', 'Afifi')","('college of dentistry', '48058', 'RINGGOLD', '2013')",nan,nan,nan,nan
Q92949263,0000-0001-6650-279X,"('Santiago Jose', 'Martinez')","('CONICET Mendoza', '63019', 'RINGGOLD', '2015')",nan,nan,nan,nan
,0000-0001-6746-879X,"('Grzegorz', 'Kurowski')","('Cracow University of Technology', 'grid.22555.35', 'GRID', '2017')",nan,nan,nan,nan
,0000-0002-9217-079X,"('Mário', 'Cappellette Jr')","('Universidade Federal de São Paulo', '28105', 'RINGGOLD', '2018')",nan,nan,nan,nan
,0000-0001-9875-879X,"('André', 'Luiz Lopes da Silveira')","('Universidade Federal do Rio Grande do Sul', '28124', 'RINGGOLD', '1988')",nan,nan,nan,nan
Q82545516,0000-0003-0603-479X,"('Saeid', 'Yeganegi')","('University of Mazandaran', '48531', 'RINGGOLD', '1999')",nan,nan,nan,nan
,0000-0002-6335-379X,"('Jean', 'Ferrari')","('Universidade de São Paulo', '67887', 'RINGGOLD', '2012')",nan,nan,nan,nan
Q59058826,0000-0003-0616-579X,"('Carmen María', 'Domínguez Torre')","('Universidad Complutense de Madrid', '16734', 'RINGGOLD', '2016')",nan,nan,nan,nan
,0000-0001-5505-379X,"('HILAL ADNAN', 'FADHIL')","('Universiti Malaysia Perlis', '119046', 'RINGGOLD', '2010')",nan,nan,nan,nan
,0000-0001-8298-379X,"('Junrui', 'Zhang')","('Shandong University at Weihai', '154528', 'RINGGOLD', '2007')",nan,nan,nan,nan
Q83405762,0000-0003-0418-679X,"('Lars-Ola', 'Bligård')","('Chalmers tekniska hogskola', '11248', 'RINGGOLD', '2002')",nan,nan,nan,nan
Q42409114,0000-0002-0436-179X,"('Donald', 'Fox')","('Duke University', '3065', 'RINGGOLD', '2011')",nan,nan,nan,nan
,0000-0002-4813-779X,"('Xuesong', 'Zhang')","('Illinois Sustainable Technology Center', '140867', 'RINGGOLD', '2016')",nan,nan,nan,nan
Q57437487,0000-0003-1692-979X,"('William', 'Buller')","('Michigan Technological University', '3968', 'RINGGOLD', '2006')",nan,nan,nan,nan
Q54011944,0000-0001-7555-679X,"('Hugo Alejandro', 'Jiménez-Vázquez')","('Escuela Nacional de Ciencias Biológicas', '61735', 'RINGGOLD', '1996')",nan,nan,nan,nan
,0000-0001-9032-679X,"('Joanna', 'Babińska')","('Instytut Techniki Budowlanej', '86913', 'RINGGOLD', '2005')",nan,nan,nan,nan
,0000-0002-7864-379X,"('Valerij', 'Kachalin')","('Samara State Technical University', '65056', 'RINGGOLD', '2016')",nan,nan,nan,nan
,0000-0002-9506-479X,"('Angela', 'Capaccio')","('University of Naples Federico II', 'grid.4691.a', 'GRID', '2018')",nan,nan,nan,nan
,0000-0001-9143-379X,"('Tracey', 'Maxfield')","('Airedale NHS Foundation Trust', '4215', 'RINGGOLD', '2017')",nan,nan,nan,nan
,0000-0001-9630-679X,"('fatemeh', 'khajenabi')","('Mazandaran University of Medical Sciences', '92948', 'RINGGOLD', '2017')",nan,nan,nan,nan
Q88506673,0000-0003-1395-579X,"('Oluwole', 'Odetunmibi')","('Covenant University', '59198', 'RINGGOLD', '2013')",nan,nan,nan,nan
Q92984964,0000-0002-3664-679X,"('DEBABRATA', 'RAY')","('Rubber Research Institute of India', '29321', 'RINGGOLD', '2000')",nan,nan,nan,nan
